Date,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Number of countries,,Country,Population,Confirmed Cases,Death Cases,Recovered Cases,Active Cases,New Cases,New Deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
2020-06-30,10449697,511210,5281459,4657028,173898,5132,116965,4.89,50.54,9.68,187,,Sweden,10099270,79395,5700,0,73695,398,3,0,7.18,0,,78048,1347,1.73,Europe
2020-07-01,10667386,516221,5397083,4754082,217689,5011,115624,4.84,50.59,9.56,187,,Switzerland,8654618,34477,1978,30900,1599,65,1,200,5.74,89.62,6.4,33634,843,2.51,Europe
2020-07-02,10875091,521341,5681477,4672273,207705,5120,284394,4.79,52.24,9.18,187,,Syria,17500657,674,40,0,634,24,2,0,5.93,0,,522,152,29.12,Eastern Mediterranean
2020-07-03,11078585,526336,5790942,4761307,203495,4995,109465,4.75,52.27,9.09,187,,Taiwan,23816775,462,7,440,15,4,0,0,1.52,95.24,1.59,451,11,2.44,Western Pacific
2020-07-04,11272152,530705,5986375,4755072,193567,4369,195433,4.71,53.11,8.87,187,,Tajikistan,9537642,7235,60,6028,1147,43,1,58,0.83,83.32,1,6921,314,4.54,Europe
2020-07-05,11454847,534150,6105546,4815151,182695,3445,119171,4.66,53.3,8.75,187,,Tanzania,56320000,509,21,183,305,0,0,0,4.13,35.95,11.48,509,0,0,Africa
2020-07-06,11622190,537947,6228768,4855475,167343,3797,123222,4.63,53.59,8.64,187,,Thailand,69799978,3297,58,3111,128,6,0,2,1.76,94.36,1.86,3250,47,1.45,South-East Asia
2020-07-07,11833034,544054,6373513,4915467,210844,6107,144745,4.6,53.86,8.54,187,,Timor-Leste,1268000,24,0,0,24,0,0,0,0,0,0,24,0,0,South-East Asia
2020-07-08,12044836,549373,6531016,4964447,211802,5319,157503,4.56,54.22,8.41,187,,Togo,8278737,874,18,607,249,6,0,8,2.06,69.45,2.97,783,91,11.62,Africa
2020-07-09,12273063,554831,6665237,5052995,228227,5458,134221,4.52,54.31,8.32,187,,Trinidad and Tobago,1399491,148,8,128,12,1,0,0,5.41,86.49,6.25,137,11,8.03,Americas
2020-07-10,12505640,560142,6804254,5141244,232577,5311,139017,4.48,54.41,8.23,187,,Tunisia,11818618,1455,50,1157,248,3,0,15,3.44,79.52,4.32,1381,74,5.36,Eastern Mediterranean
2020-07-11,12721968,565039,6929711,5227218,216328,4897,125457,4.44,54.47,8.15,187,,Turkey,84339067,227019,5630,210469,10920,919,17,982,2.48,92.71,2.67,220572,6447,2.92,Europe
2020-07-12,12914636,568993,7041174,5304469,192668,3954,111463,4.41,54.52,8.08,187,,United States of America,45741000,4290259,148011,1325804,2816444,56336,1076,27941,3.45,30.9,11.16,3834677,455582,11.88,Americas
2020-07-13,13107415,572808,7181139,5353468,192779,3815,139965,4.37,54.79,7.98,187,,Uganda,43733759,1128,2,986,140,13,0,4,0.18,87.41,0.2,1069,59,5.52,Africa
2020-07-14,13328867,578468,7322897,5427502,221452,5660,141758,4.34,54.94,7.9,187,,Ukraine,9890400,67096,1636,37202,28258,835,11,317,2.44,55.45,4.4,60767,6329,10.42,Europe
2020-07-15,13559984,583961,7482320,5493703,231122,5493,159423,4.31,55.18,7.8,187,,United Arab Emirates,67886004,59177,345,52510,6322,264,1,328,0.58,88.73,0.66,57193,1984,3.47,Eastern Mediterranean
2020-07-16,13812525,589760,7634241,5588524,252544,5799,151921,4.27,55.27,7.73,187,,United Kingdom,3473727,301708,45844,1437,254427,688,7,3,15.19,0.48,3190.26,296944,4764,1.6,Europe
2020-07-17,14054563,596503,7793760,5664300,242038,6743,159519,4.24,55.45,7.65,187,,Uruguay,331002647,1202,35,951,216,10,1,3,2.91,79.12,3.68,1064,138,12.97,Americas
2020-07-18,14292198,602130,7944550,5745518,237635,5627,150790,4.21,55.59,7.58,187,,Uzbekistan,33469199,21209,121,11674,9414,678,5,569,0.57,55.04,1.04,17149,4060,23.67,Europe
2020-07-19,14506845,606159,8032235,5868451,214647,4029,87685,4.18,55.37,7.55,187,,Venezuela,28435943,15988,146,9959,5883,525,4,213,0.91,62.29,1.47,12334,3654,29.63,Americas
2020-07-20,14713623,610319,8190777,5912527,206778,4160,158542,4.15,55.67,7.45,187,,Vietnam,97338583,431,0,365,66,11,0,0,0,84.69,0,384,47,12.24,Western Pacific
2020-07-21,14947078,616557,8364986,5965535,233565,6238,174209,4.12,55.96,7.37,187,,West Bank and Gaza,4430000,10621,78,3752,6791,152,2,0,0.73,35.33,2.08,8916,1705,19.12,Eastern Mediterranean
2020-07-22,15227725,623540,8541255,6062930,280647,6983,176269,4.09,56.09,7.3,187,,Western Sahara,597330,10,1,8,1,0,0,0,10,80,12.5,10,0,0,Africa
2020-07-23,15510481,633506,8710969,6166006,282756,9966,169714,4.08,56.16,7.27,187,,Yemen,29825968,1691,483,833,375,10,4,36,28.56,49.26,57.98,1619,72,4.45,Eastern Mediterranean
2020-07-24,15791645,639650,8939705,6212290,281164,6144,228736,4.05,56.61,7.16,187,,Zambia,18383956,4552,140,2815,1597,71,1,465,3.08,61.84,4.97,3326,1226,36.86,Africa
2020-07-25,16047190,644517,9158743,6243930,255545,4867,219038,4.02,57.07,7.04,187,,Zimbabwe,14862927,2704,36,542,2126,192,2,24,1.33,20.04,6.64,1713,991,57.85,Africa
2020-07-26,16251796,648621,9293464,6309711,204606,4104,134721,3.99,57.18,6.98,187,,,,,,,,,,,,,,,,,
2020-07-27,16480485,654036,9468087,6358362,228693,5415,174623,3.97,57.45,6.91,187,,,,,,,,,,,,,,,,,
